bbox,class_id,confidence,file_path,filename,source,type
"(169, 3, 495, 557)",0,1.0,barcode_data/0/20201211_101_rgb.png,20201211_101_rgb.png,ground_truth,barcode
"(191, 36, 1036, 669)",0,1.0,barcode_data/0/20201211_1020_rgb.png,20201211_1020_rgb.png,ground_truth,barcode
"(226, 36, 1036, 608)",0,1.0,barcode_data/0/20201211_1021_rgb.png,20201211_1021_rgb.png,ground_truth,barcode
"(110, 18, 1151, 690)",0,1.0,barcode_data/0/20201211_1022_rgb.png,20201211_1022_rgb.png,ground_truth,barcode
"(137, 54, 1039, 663)",0,1.0,barcode_data/0/20201211_1024_rgb.png,20201211_1024_rgb.png,ground_truth,barcode
"(154, 2, 497, 562)",0,1.0,barcode_data/0/20201211_102_rgb.png,20201211_102_rgb.png,ground_truth,barcode
"(195, 5, 504, 699)",0,1.0,barcode_data/0/20201211_1030_rgb.png,20201211_1030_rgb.png,ground_truth,barcode
"(159, 22, 539, 684)",0,1.0,barcode_data/0/20201211_1031_rgb.png,20201211_1031_rgb.png,ground_truth,barcode
"(127, 8, 628, 684)",0,1.0,barcode_data/0/20201211_1032_rgb.png,20201211_1032_rgb.png,ground_truth,barcode
"(70, 1, 719, 699)",0,1.0,barcode_data/0/20201211_1033_rgb.png,20201211_1033_rgb.png,ground_truth,barcode
"(24, 10, 820, 692)",0,1.0,barcode_data/0/20201211_1034_rgb.png,20201211_1034_rgb.png,ground_truth,barcode
"(37, 23, 806, 680)",0,1.0,barcode_data/0/20201211_1035_rgb.png,20201211_1035_rgb.png,ground_truth,barcode
"(37, 23, 846, 675)",0,1.0,barcode_data/0/20201211_1036_rgb.png,20201211_1036_rgb.png,ground_truth,barcode
"(9, 199, 1117, 392)",0,1.0,barcode_data/0/20201211_1069_rgb.png,20201211_1069_rgb.png,ground_truth,barcode
"(166, 4, 545, 542)",0,1.0,barcode_data/0/20201211_106_rgb.png,20201211_106_rgb.png,ground_truth,barcode
"(22, 168, 1137, 449)",0,1.0,barcode_data/0/20201211_1070_rgb.png,20201211_1070_rgb.png,ground_truth,barcode
"(34, 161, 1100, 495)",0,1.0,barcode_data/0/20201211_1071_rgb.png,20201211_1071_rgb.png,ground_truth,barcode
"(22, 147, 1116, 486)",0,1.0,barcode_data/0/20201211_1072_rgb.png,20201211_1072_rgb.png,ground_truth,barcode
"(29, 128, 1152, 529)",0,1.0,barcode_data/0/20201211_1073_rgb.png,20201211_1073_rgb.png,ground_truth,barcode
"(14, 138, 1183, 527)",0,1.0,barcode_data/0/20201211_1074_rgb.png,20201211_1074_rgb.png,ground_truth,barcode
"(7, 157, 1176, 516)",0,1.0,barcode_data/0/20201211_1075_rgb.png,20201211_1075_rgb.png,ground_truth,barcode
"(20, 139, 1150, 535)",0,1.0,barcode_data/0/20201211_1076_rgb.png,20201211_1076_rgb.png,ground_truth,barcode
"(1, 151, 1195, 529)",0,1.0,barcode_data/0/20201211_1077_rgb.png,20201211_1077_rgb.png,ground_truth,barcode
"(9, 156, 1169, 496)",0,1.0,barcode_data/0/20201211_1078_rgb.png,20201211_1078_rgb.png,ground_truth,barcode
"(18, 163, 1196, 544)",0,1.0,barcode_data/0/20201211_1079_rgb.png,20201211_1079_rgb.png,ground_truth,barcode
"(175, 13, 518, 478)",0,1.0,barcode_data/0/20201211_107_rgb.png,20201211_107_rgb.png,ground_truth,barcode
"(27, 163, 1160, 520)",0,1.0,barcode_data/0/20201211_1080_rgb.png,20201211_1080_rgb.png,ground_truth,barcode
"(16, 159, 1124, 525)",0,1.0,barcode_data/0/20201211_1081_rgb.png,20201211_1081_rgb.png,ground_truth,barcode
"(17, 172, 1191, 506)",0,1.0,barcode_data/0/20201211_1082_rgb.png,20201211_1082_rgb.png,ground_truth,barcode
"(57, 155, 1142, 508)",0,1.0,barcode_data/0/20201211_1083_rgb.png,20201211_1083_rgb.png,ground_truth,barcode
"(14, 188, 1183, 476)",0,1.0,barcode_data/0/20201211_1084_rgb.png,20201211_1084_rgb.png,ground_truth,barcode
"(31, 188, 1155, 450)",0,1.0,barcode_data/0/20201211_1085_rgb.png,20201211_1085_rgb.png,ground_truth,barcode
"(33, 161, 1156, 440)",0,1.0,barcode_data/0/20201211_1086_rgb.png,20201211_1086_rgb.png,ground_truth,barcode
"(16, 144, 1182, 441)",0,1.0,barcode_data/0/20201211_1087_rgb.png,20201211_1087_rgb.png,ground_truth,barcode
"(27, 110, 1144, 404)",0,1.0,barcode_data/0/20201211_1088_rgb.png,20201211_1088_rgb.png,ground_truth,barcode
"(34, 101, 1064, 381)",0,1.0,barcode_data/0/20201211_1089_rgb.png,20201211_1089_rgb.png,ground_truth,barcode
"(16, 61, 1131, 389)",0,1.0,barcode_data/0/20201211_1090_rgb.png,20201211_1090_rgb.png,ground_truth,barcode
"(16, 74, 1083, 363)",0,1.0,barcode_data/0/20201211_1091_rgb.png,20201211_1091_rgb.png,ground_truth,barcode
"(24, 54, 1052, 369)",0,1.0,barcode_data/0/20201211_1092_rgb.png,20201211_1092_rgb.png,ground_truth,barcode
"(7, 41, 1085, 321)",0,1.0,barcode_data/0/20201211_1093_rgb.png,20201211_1093_rgb.png,ground_truth,barcode
"(16, 35, 1032, 343)",0,1.0,barcode_data/0/20201211_1094_rgb.png,20201211_1094_rgb.png,ground_truth,barcode
"(14, 34, 1037, 330)",0,1.0,barcode_data/0/20201211_1095_rgb.png,20201211_1095_rgb.png,ground_truth,barcode
"(506, 59, 508, 585)",0,1.0,barcode_data/0/20201211_10_rgb.png,20201211_10_rgb.png,ground_truth,barcode
"(40, 193, 1136, 406)",0,1.0,barcode_data/0/20201211_1108_rgb.png,20201211_1108_rgb.png,ground_truth,barcode
"(151, 190, 1072, 456)",0,1.0,barcode_data/0/20201211_1118_rgb.png,20201211_1118_rgb.png,ground_truth,barcode
"(144, 221, 1078, 468)",0,1.0,barcode_data/0/20201211_1119_rgb.png,20201211_1119_rgb.png,ground_truth,barcode
"(145, 1, 654, 508)",0,1.0,barcode_data/0/20201211_111_rgb.png,20201211_111_rgb.png,ground_truth,barcode
"(198, 214, 960, 398)",0,1.0,barcode_data/0/20201211_1120_rgb.png,20201211_1120_rgb.png,ground_truth,barcode
"(187, 196, 976, 420)",0,1.0,barcode_data/0/20201211_1121_rgb.png,20201211_1121_rgb.png,ground_truth,barcode
"(216, 204, 1004, 464)",0,1.0,barcode_data/0/20201211_1122_rgb.png,20201211_1122_rgb.png,ground_truth,barcode
"(274, 184, 914, 481)",0,1.0,barcode_data/0/20201211_1123_rgb.png,20201211_1123_rgb.png,ground_truth,barcode
"(162, 85, 1052, 565)",0,1.0,barcode_data/0/20201211_1124_rgb.png,20201211_1124_rgb.png,ground_truth,barcode
